,AAPL,AMGN,TSLA,JPM,XOM
coefficients,"[-6.36184872e-11  1.25348004e-09  1.12654017e-11  2.67675069e-11
  2.05618659e-12]","[1.16890038e-05 1.01332437e-02 1.56367510e-06 2.20744507e-04
 2.41595386e-05]","[ 5.34493421e-11  6.00914213e-09 -5.77899570e-12  1.16689836e-10
  5.08944685e-12]","[ 2.91484176e-09 -2.21898660e-06  5.31724221e-10  3.17569120e-08
  7.06829579e-09]","[ 7.55956190e-09 -3.78767773e-08  1.24793925e-09  1.12403388e-08
 -4.55936549e-10]"
r_squared,3.945216380252248e-07,8.950020599418629e-06,2.8517305961095474e-07,4.879191349282941e-06,2.5584491436525525e-07
